,crisis_covid_worries_self,crisis_covid_worries_others,crisis_covid_worries_physical,crisis_covid_worries_mental,crisis_covid_worries_reading,crisis_covid_worries_positive_changes
s001,1,2,1,1,3,2
s002,1,5,2,4,4,2
s003,2,5,2,1,4,2
s004,5,5,3,5,4,1
s005,2,5,2,4,4,2
s007,3,3,3,2,3,1
s008,2,3,2,2,4,2
s010,2,2,2,2,2,1
s012,2,2,2,2,3,1
s013,4,5,4,3,4,1
s014,1,1,1,1,3,1
s016,2,2,2,1,3,2
s017,4,4,2,1,3,1
s019,3,4,3,2,4,3
s020,4,4,5,4,5,1
s021,3,3,4,2,4,2
s022,3,4,3,2,4,1
s023,2,4,2,4,4,1
s024,2,4,3,2,4,2
s025,2,4,2,1,4,3
s026,5,5,5,3,4,3
s027,3,4,2,1,3,1
s029,1,1,1,1,4,3
s030,1,1,1,1,4,1
s033,5,5,5,5,4,1
s034,1,1,1,1,4,1
s035,1,1,1,4,4,1
s036,2,4,3,4,4,1
s038,2,3,2,2,3,1
s040,5,5,5,5,5,2
s041,2,4,2,2,3,3
s042,4,4,4,4,3,1
s043,4,5,4,1,4,3
s044,2,3,2,2,4,2
s046,2,3,2,3,3,1
s047,4,5,4,5,4,1
s049,4,5,4,4,3,1
s050,2,3,3,2,4,1
s051,2,3,2,3,4,2
s052,3,3,3,2,4,2
s053,1,1,1,1,4,1
s054,4,5,5,5,4,1
s055,3,3,3,3,4,1
s056,2,2,1,1,3,1
s057,5,5,5,2,4,2
s059,2,2,1,1,2,3
s063,3,3,3,2,4,2
s065,4,4,4,4,5,3
s066,3,4,4,3,3,2
s067,2,2,1,1,3,1
s068,2,4,2,3,3,1
s070,2,3,1,2,3,2
s071,2,3,2,2,3,1
s072,5,5,5,4,5,3
s074,2,3,2,3,3,2
s075,2,3,2,1,4,1
s076,1,1,1,2,4,1
s078,3,3,1,1,3,1
s079,2,4,2,3,4,2
s080,3,4,3,2,3,2
s081,3,3,3,2,4,1
s082,3,2,4,3,3,2
s084,3,4,4,4,4,1
s085,3,4,3,3,3,1
s086,2,2,3,4,3,1
s087,1,2,1,3,4,1
s088,3,4,3,2,4,2
s089,2,4,1,1,3,1
s090,1,2,1,1,3,1
s091,4,4,4,1,3,3
s092,2,3,1,2,4,3
s093,3,4,3,1,4,3
s094,1,1,1,1,3,1
s095,2,5,3,2,2,1
s096,2,3,2,2,3,2
s097,1,2,1,1,3,2
s098,3,2,3,4,4,1
s099,3,3,3,4,3,2
s100,3,3,1,1,2,1
s101,2,4,2,2,3,1
s102,2,3,2,1,4,2
s103,2,2,2,2,3,1
s104,5,5,5,5,4,1
s107,4,4,4,5,4,1
s108,3,3,3,4,4,2
s109,1,2,1,1,3,2
s111,2,1,4,5,3,1
s113,3,3,4,5,3,1
s114,2,3,2,3,3,1
s115,2,3,2,2,3,1
s116,1,1,1,1,2,2
s117,1,1,1,2,2,2
s118,2,2,2,2,4,1
s119,2,3,2,2,4,3
s120,2,3,2,2,4,2
s121,1,1,1,1,4,2
s123,1,2,2,1,4,1
s124,2,2,3,3,3,3
s125,4,4,3,1,3,1
s126,4,4,4,4,5,1
s127,5,4,4,3,4,1
s128,2,3,2,1,3,1
s129,4,4,4,3,4,1
s130,2,3,2,3,4,2
s131,4,4,4,3,4,3
s134,3,4,3,2,4,3
s136,5,5,5,4,4,1
