,lon_post.pt,lon_pre.pt,mindset_covid_catastrophe.pt,mindset_pandemic_catastrophe.pt,mindset_pandemic_opportunity.pt,mindset_stress.pt,pss_post.pt,pss_pre.pt,soc_supp_post.pt,soc_supp_pre.pt
s001,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-0.7059893780322387,1.128320930174768,1.8583554694276838,-1.4768477351480338,-1.4905093987666231,1.4332978565028864,1.4099205307379472
s002,-0.40533587076389643,-0.831593973493216,0.4649943926641181,1.2468879780027387,-0.9487782509198233,0.19740711576735798,0.2679962571635252,-0.6497002996949361,0.7463051274311383,0.6402530841272475
s003,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,1.128320930174768,0.4402259046149964,0.2679962571635252,1.5334794522386856,-0.6995313147210405,-1.1955291071894343
s004,0.6316541790203999,-0.831593973493216,1.6027263354091825,1.7888502784569418,-2.353344548403875,-0.21422908358677634,1.805093479702683,-0.6497002996949361,0.9108205327867481,1.4099205307379472
s005,-0.40533587076389643,-0.831593973493216,-2.3986681970470216,-1.538397657282701,1.128320930174768,-0.06977353178262562,0.8442100014522146,-0.4190949674872398,-1.7289781432638556,-1.749525736066307
s007,0.6316541790203999,1.2837131190409605,0.4649943926641181,-1.9134433879851869,-1.618972119734219,0.0671800504715278,0.18115699627469786,0.45863151977581046,-0.7559393929180493,-0.7649096874377402
s008,-0.40533587076389643,-0.831593973493216,1.2275906793032312,0.7255275640739622,-0.9487782509198233,-0.36710719084128685,0.353587768852796,-0.6497002996949361,0.82796465373173,1.3075476887573665
s010,0.9945444010130239,-0.831593973493216,-0.7166897942641163,-1.135310703617032,-0.9487782509198233,0.8687394551483301,0.6034975428317365,0.09449834735848414,-0.46284712342362166,0.29655933369182347
s012,0.6316541790203999,-0.831593973493216,0.07669852472606668,-0.2519290840063944,-0.04084685891475932,1.324424672161377,-0.08759910016414785,-0.5322061511249646,-0.005381265982716628,0.6402530841272475
s013,-1.2025197651423958,0.9768629143292122,0.4649943926641181,0.22560573653814894,1.128320930174768,-0.06977353178262562,0.353587768852796,0.9504388425539132,0.06453877373902547,-0.7047470899354077
s014,-1.2025197651423958,-0.831593973493216,-1.1233412574053547,-1.135310703617032,-0.9487782509198233,-0.21422908358677634,-0.4687478350089438,-0.5322061511249646,0.28124658494995103,0.1346334884709429
s016,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,0.22560573653814894,1.128320930174768,-1.8085513707959575,-2.235989350962585,-2.0824261027412914,1.4332978565028864,1.4099205307379472
s017,-1.2025197651423958,-0.831593973493216,0.4649943926641181,0.22560573653814894,-1.618972119734219,-0.36710719084128685,-1.1091087313028865,-0.9002001328464083,0.35581258118560627,0.05610467644263415
s019,-1.2025197651423958,-0.831593973493216,0.07669852472606668,-1.135310703617032,1.128320930174768,1.4876127283969005,-0.5689396231311354,-1.3281667834095012,1.254285963057069,1.011098738160443
s020,0.6316541790203999,0.9768629143292122,-0.31696740769562387,-0.2519290840063944,-0.9487782509198233,0.662932229843783,0.764917473663161,1.3229163539159474,-0.20825424063905704,-0.020819114133516947
s021,0.9945444010130239,-0.831593973493216,0.07669852472606668,-0.7059893780322387,-1.618972119734219,-0.5295126138507075,-0.7764118522170589,-1.4905093987666231,0.82796465373173,1.011098738160443
s022,0.9945444010130239,-0.831593973493216,0.07669852472606668,-0.2519290840063944,1.128320930174768,-0.21422908358677634,0.09299861481520225,-1.1769233785914714,-0.40088942055876664,-0.16990511095889646
s023,1.2939785007623317,1.6487574062607107,-0.7166897942641163,1.7888502784569418,-0.04084685891475932,-1.8085513707959575,1.4492435122530585,1.930701012047936,-1.7615422219054606,-1.8658816795391573
s024,1.546428021985757,0.4007731773726834,0.8484734664860887,0.7255275640739622,-0.04084685891475932,-0.8885854759249145,0.6034975428317365,0.7115555744449803,-1.4329343171903055,0.05610467644263415
s025,1.2939785007623317,1.574915783732344,1.2275906793032312,0.22560573653814894,1.128320930174768,0.0671800504715278,0.2679962571635252,0.8722283714293307,-1.0715553962662832,-1.2896318345536222
s026,-1.2025197651423958,-0.831593973493216,0.07669852472606668,0.7255275640739622,1.128320930174768,-1.8085513707959575,-1.3494630693850207,-1.1769233785914714,1.4332978565028864,1.4099205307379472
s027,-1.2025197651423958,0.9768629143292122,0.07669852472606668,-0.2519290840063944,1.128320930174768,-1.0889772894221048,-1.1091087313028865,-0.30990649310671875,-1.853467061411761,-2.0297917584499445
s029,-1.2025197651423958,-0.831593973493216,-1.5380658903564617,-1.135310703617032,1.128320930174768,-1.8085513707959575,-2.0601526630385423,-2.0824261027412914,1.4332978565028864,1.4099205307379472
s030,0.6316541790203999,-0.831593973493216,1.2275906793032312,1.7888502784569418,-0.9487782509198233,0.4402259046149964,-0.2745379830745615,0.5446568392987251,0.35581258118560627,-0.3127320149912993
s033,-1.2025197651423958,-0.831593973493216,0.8484734664860887,0.7255275640739622,1.128320930174768,-0.8885854759249145,-2.6756797803238297,-2.6830696876147857,1.4332978565028864,1.4099205307379472
s034,-1.2025197651423958,-0.831593973493216,1.2275906793032312,1.2468879780027387,-0.04084685891475932,-0.5295126138507075,0.353587768852796,0.5446568392987251,0.9948767068832751,1.1081494878626041
s035,1.546428021985757,0.9768629143292122,-1.5380658903564617,-0.7059893780322387,-1.618972119734219,-0.36710719084128685,1.805093479702683,0.09449834735848414,-1.588935222545199,-1.3785471510910783
s036,-0.40533587076389643,-0.831593973493216,1.6027263354091825,1.7888502784569418,-0.9487782509198233,-1.8085513707959575,1.664562131864118,0.45863151977581046,0.5865592073168818,0.46506420993083275
s038,-0.40533587076389643,0.4007731773726834,0.07669852472606668,-0.7059893780322387,-0.9487782509198233,0.321567162479574,-0.4687478350089438,-0.10181754338585519,-0.40088942055876664,-0.5800431607309313
s040,0.9945444010130239,-0.831593973493216,1.6027263354091825,0.7255275640739622,-0.04084685891475932,0.321567162479574,0.43799645996951364,-0.9002001328464083,1.343182132114088,1.4099205307379472
s041,-0.40533587076389643,-0.831593973493216,0.07669852472606668,-1.538397657282701,-0.04084685891475932,1.4072110393823316,-0.671423976719539,-0.20425590298429847,0.9948767068832751,1.2069615655013988
s042,1.546428021985757,1.2837131190409605,-1.5380658903564617,-1.135310703617032,1.128320930174768,1.5657698193224288,0.521281613916465,-0.0023129202318582327,-0.8654738412233296,-0.020819114133516947
s043,-0.40533587076389643,-0.831593973493216,-0.31696740769562387,0.7255275640739622,1.128320930174768,1.5657698193224288,-0.37066670297759513,-0.5322061511249646,1.254285963057069,1.4099205307379472
s044,0.6316541790203999,-0.831593973493216,-0.31696740769562387,-1.135310703617032,-1.618972119734219,-0.8885854759249145,-1.6101426931117921,-1.4905093987666231,1.0801370875274132,0.5518166182190072
s046,-1.2025197651423958,1.2837131190409605,-0.7166897942641163,-0.2519290840063944,-0.04084685891475932,-1.0889772894221048,0.09299861481520225,0.9504388425539132,-0.5834091416199507,-0.5800431607309313
s047,0.6316541790203999,1.2837131190409605,1.6027263354091825,-0.7059893780322387,1.128320930174768,-0.21422908358677634,0.8442100014522146,1.3229163539159474,0.06453877373902547,0.29655933369182347
s049,0.6316541790203999,-0.831593973493216,0.8484734664860887,-0.2519290840063944,-0.04084685891475932,-1.3066058371444462,0.9226111419641649,0.9504388425539132,-0.40088942055876664,-0.38183215199381654
s050,0.6316541790203999,1.2837131190409605,1.2275906793032312,1.7888502784569418,-0.9487782509198233,-0.5295126138507075,0.6846941607165334,0.7115555744449803,-0.20825424063905704,-0.5800431607309313
s051,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,0.22560573653814894,1.128320930174768,1.2390997648873803,-0.08759910016414785,-1.0347586174422276,0.6658379805120094,-0.09615123964153562
s052,-0.40533587076389643,-0.831593973493216,-0.31696740769562387,-0.2519290840063944,1.128320930174768,-1.3066058371444462,-0.18022294165438882,1.3940872254202263,-0.14177338943814174,-0.16990511095889646
s053,-1.2025197651423958,-0.831593973493216,1.2275906793032312,0.7255275640739622,-0.04084685891475932,0.662932229843783,-0.4687478350089438,-0.10181754338585519,0.13561391118851798,-0.020819114133516947
s054,0.9945444010130239,1.574915783732344,-0.31696740769562387,-0.2519290840063944,-0.04084685891475932,0.8687394551483301,1.3761837322376587,1.6691994023747632,-0.8112519305013238,-1.0443916134661673
s055,0.6316541790203999,-0.831593973493216,0.07669852472606668,0.22560573653814894,-0.9487782509198233,-0.21422908358677634,0.6846941607165334,-0.10181754338585519,-0.40088942055876664,-0.24209419492101156
s056,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-1.538397657282701,-0.04084685891475932,-0.8885854759249145,-1.1091087313028865,-0.0023129202318582327,1.4332978565028864,1.1081494878626041
s057,1.546428021985757,1.6487574062607107,1.6027263354091825,1.2468879780027387,1.128320930174768,-0.5295126138507075,-0.5689396231311354,-0.30990649310671875,-1.588935222545199,-1.7176945377367214
s059,-1.2025197651423958,-0.831593973493216,-1.962425004693385,-2.2582032034679442,1.128320930174768,1.1510667873800327,0.18115699627469786,-1.1769233785914714,0.82796465373173,0.29655933369182347
s063,-0.40533587076389643,-0.831593973493216,1.2275906793032312,-0.2519290840063944,1.128320930174768,-0.06977353178262562,0.353587768852796,0.6289302928745614,1.0801370875274132,1.1081494878626041
s065,0.9945444010130239,0.4007731773726834,-1.1233412574053547,1.2468879780027387,-0.9487782509198233,0.662932229843783,1.805093479702683,1.1774041487931894,0.2078484321311071,-0.020819114133516947
s066,-1.2025197651423958,-0.831593973493216,-0.31696740769562387,0.22560573653814894,-0.9487782509198233,0.19740711576735798,-1.1091087313028865,-0.4190949674872398,1.1666055557057204,1.011098738160443
s067,-1.2025197651423958,0.4007731773726834,-0.7166897942641163,-0.2519290840063944,-0.9487782509198233,-1.3066058371444462,-0.18022294165438882,0.6289302928745614,-0.7559393929180493,-0.9368083882134317
s068,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,-1.618972119734219,0.19740711576735798,-0.5689396231311354,-0.30990649310671875,-0.07415053245227908,-0.020819114133516947
s070,-0.40533587076389643,0.4007731773726834,0.8484734664860887,0.7255275640739622,-0.04084685891475932,0.19740711576735798,0.2679962571635252,0.45863151977581046,0.6658379805120094,0.6402530841272475
s071,0.6316541790203999,1.2837131190409605,-0.31696740769562387,-0.2519290840063944,-0.9487782509198233,-1.0889772894221048,0.2679962571635252,-0.20425590298429847,-0.5834091416199507,-1.0443916134661673
s072,0.1794749876965835,-0.831593973493216,1.2275906793032312,0.7255275640739622,1.128320930174768,1.2390997648873803,-0.671423976719539,-0.20425590298429847,-0.5834091416199507,-0.5154739952577171
s074,-1.2025197651423958,-0.831593973493216,1.2275906793032312,0.22560573653814894,-0.04084685891475932,0.9661064113654038,-0.18022294165438882,-0.0023129202318582327,1.0801370875274132,1.2069615655013988
s075,-0.40533587076389643,-0.831593973493216,-1.1233412574053547,-0.7059893780322387,-0.9487782509198233,-0.06977353178262562,-0.37066670297759513,-0.9002001328464083,0.5084647695744308,0.3799828134933495
s076,-1.2025197651423958,-0.831593973493216,0.07669852472606668,0.7255275640739622,-0.04084685891475932,1.2390997648873803,-0.7764118522170589,-0.20425590298429847,1.4332978565028864,1.3075476887573665
s078,-0.40533587076389643,1.2837131190409605,1.6027263354091825,1.2468879780027387,1.128320930174768,-0.5295126138507075,1.874510050620428,1.601780231420691,-1.260594593511538,-0.8809262216002064
s079,1.2939785007623317,1.4628902317027408,-1.5380658903564617,-0.2519290840063944,-0.9487782509198233,-1.0889772894221048,0.18115699627469786,0.7115555744449803,0.28124658494995103,0.05610467644263415
s080,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,1.128320930174768,1.7158510481408102,-0.7764118522170589,-1.0347586174422276,0.7463051274311383,0.7303866044400485
s081,0.9945444010130239,-0.831593973493216,-0.31696740769562387,-0.2519290840063944,-1.618972119734219,0.0671800504715278,0.0034423485135380936,-0.6497002996949361,1.4332978565028864,1.4099205307379472
s082,0.1794749876965835,1.574915783732344,1.2275906793032312,0.22560573653814894,1.128320930174768,0.0671800504715278,0.353587768852796,0.792626519758627,-0.8654738412233296,-0.8809262216002064
s084,1.2939785007623317,1.574915783732344,-0.31696740769562387,0.22560573653814894,-0.9487782509198233,0.0671800504715278,1.2279971616289733,0.7115555744449803,-1.214914050932591,-1.4623940167579426
s085,1.2939785007623317,1.574915783732344,-0.31696740769562387,-0.7059893780322387,-0.04084685891475932,0.0671800504715278,1.664562131864118,1.5334794522386856,-1.214914050932591,-1.4210966523080772
s086,1.2939785007623317,1.4628902317027408,-0.7166897942641163,-0.2519290840063944,-0.04084685891475932,-0.21422908358677634,1.3761837322376587,1.8015250730956647,-1.793140603857923,-1.3785471510910783
s087,0.9945444010130239,0.4007731773726834,1.6027263354091825,1.7888502784569418,-0.9487782509198233,-0.36710719084128685,-0.37066670297759513,0.09449834735848414,0.2078484321311071,0.29655933369182347
s088,1.2939785007623317,0.9768629143292122,-0.31696740769562387,-0.2519290840063944,-0.9487782509198233,0.7677784051444568,0.09299861481520225,-0.0023129202318582327,-1.0216457617926087,-0.7047470899354077
s089,-0.40533587076389643,-0.831593973493216,-1.5380658903564617,-0.7059893780322387,1.128320930174768,-1.8085513707959575,-1.8997023102137427,-2.0824261027412914,1.4332978565028864,1.4099205307379472
s090,-1.2025197651423958,-0.831593973493216,0.8484734664860887,-0.2519290840063944,-0.04084685891475932,0.4402259046149964,-0.5689396231311354,-1.3281667834095012,1.343182132114088,1.4099205307379472
s091,1.2939785007623317,1.4628902317027408,1.6027263354091825,1.7888502784569418,-0.04084685891475932,-1.5449211960675349,-1.3494630693850207,-0.10181754338585519,-1.6254266544474187,-1.541292766373307
s092,1.2939785007623317,0.4007731773726834,0.4649943926641181,1.2468879780027387,-0.04084685891475932,-1.0889772894221048,-0.7764118522170589,-1.6668574375175476,-0.8654738412233296,0.8222301273611241
s093,0.9945444010130239,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,1.128320930174768,1.2390997648873803,-0.18022294165438882,-0.6497002996949361,0.6658379805120094,0.46506420993083275
s094,-1.2025197651423958,-0.831593973493216,-1.962425004693385,-1.538397657282701,1.128320930174768,1.324424672161377,0.6034975428317365,0.8722283714293307,-1.1681842508684694,-1.1955291071894343
s095,-1.2025197651423958,-0.831593973493216,0.4649943926641181,0.7255275640739622,-0.9487782509198233,-0.8885854759249145,-0.671423976719539,-0.0023129202318582327,0.5084647695744308,0.1346334884709429
s096,-1.2025197651423958,-0.831593973493216,0.07669852472606668,0.22560573653814894,1.128320930174768,-0.21422908358677634,-1.4768477351480338,-0.7721356019429481,1.4332978565028864,1.4099205307379472
s097,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,-1.618972119734219,-0.06977353178262562,-0.08759910016414785,0.18882545691774863,0.5084647695744308,0.8222301273611241
s098,1.2939785007623317,1.4628902317027408,-1.1233412574053547,-0.2519290840063944,1.128320930174768,-0.36710719084128685,0.0034423485135380936,-0.4190949674872398,-0.46284712342362166,-0.38183215199381654
s099,0.1794749876965835,0.9768629143292122,0.07669852472606668,-0.2519290840063944,-0.9487782509198233,-0.36710719084128685,0.6846941607165334,1.4642612289393766,-0.6995313147210405,-0.8236313709579403
s100,-1.2025197651423958,-0.831593973493216,-0.31696740769562387,-1.9134433879851869,-0.9487782509198233,0.9661064113654038,-0.7764118522170589,-0.4190949674872398,0.431550596024537,0.46506420993083275
s101,-1.2025197651423958,-0.831593973493216,-0.31696740769562387,-1.135310703617032,-0.04084685891475932,1.4072110393823316,-1.2271084136709602,-0.5322061511249646,1.4332978565028864,1.4099205307379472
s102,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,-0.04084685891475932,-0.7027875020654903,-0.9949321660477001,-1.0347586174422276,0.9948767068832751,0.9157965538807467
s103,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-0.2519290840063944,-0.04084685891475932,0.7677784051444568,-1.75053572872245,-1.4905093987666231,1.4332978565028864,1.4099205307379472
s104,1.546428021985757,1.4628902317027408,0.07669852472606668,1.2468879780027387,-0.04084685891475932,0.19740711576735798,1.735116644582739,2.0569436979337827,-1.4329343171903055,-1.0443916134661673
s107,1.2939785007623317,1.574915783732344,0.8484734664860887,0.22560573653814894,1.128320930174768,-0.7027875020654903,0.764917473663161,0.7115555744449803,-1.260594593511538,-1.4623940167579426
s108,-0.40533587076389643,0.4007731773726834,0.4649943926641181,0.7255275640739622,-0.04084685891475932,-0.8885854759249145,1.5216455394156991,1.7357705234229175,-0.5834091416199507,-0.7047470899354077
s109,-0.40533587076389643,1.2837131190409605,-0.7166897942641163,1.2468879780027387,1.128320930174768,-0.7027875020654903,-1.3494630693850207,-0.30990649310671875,0.9948767068832751,0.6402530841272475
s111,1.546428021985757,-0.831593973493216,1.6027263354091825,1.7888502784569418,-0.9487782509198233,1.4072110393823316,1.735116644582739,-0.0023129202318582327,-0.6420228344087408,0.9157965538807467
s113,1.2939785007623317,1.4628902317027408,0.07669852472606668,-0.7059893780322387,-0.04084685891475932,-1.5449211960675349,2.3460291849396295,2.11902612528793,-2.2050150289708643,-1.9878678449459792
s114,0.6316541790203999,-0.831593973493216,1.2275906793032312,0.7255275640739622,1.128320930174768,0.19740711576735798,-0.5689396231311354,-0.20425590298429847,-0.3378077477852793,-0.09615123964153562
s115,0.1794749876965835,-0.831593973493216,-0.7166897942641163,-1.135310703617032,-0.04084685891475932,1.324424672161377,-0.2745379830745615,0.18882545691774863,-0.40088942055876664,-0.5800431607309313
s116,0.6316541790203999,1.2837131190409605,-1.5380658903564617,-0.7059893780322387,-2.0773657664300758,1.2390997648873803,-0.08759910016414785,0.37073926696725357,-1.0216457617926087,-1.1464956500494727
s117,-0.40533587076389643,-0.831593973493216,-0.7166897942641163,-0.7059893780322387,-0.04084685891475932,-0.21422908358677634,-0.7764118522170589,-0.10181754338585519,-0.005381265982716628,-0.3127320149912993
s118,0.1794749876965835,0.9768629143292122,-1.5380658903564617,-2.2582032034679442,-0.04084685891475932,1.4072110393823316,0.18115699627469786,0.6289302928745614,-1.3052313325390579,-1.5024543296430122
s119,-1.2025197651423958,-0.831593973493216,-0.31696740769562387,-0.7059893780322387,1.128320930174768,1.4072110393823316,-0.08759910016414785,0.6289302928745614,0.28124658494995103,0.21478062447514865
s120,-1.2025197651423958,-0.831593973493216,0.4649943926641181,1.2468879780027387,1.128320930174768,1.4876127283969005,-0.8841503390835853,-0.5322061511249646,0.13561391118851798,-0.020819114133516947
s121,0.6316541790203999,1.2837131190409605,-1.962425004693385,-2.2582032034679442,-0.9487782509198233,0.321567162479574,0.764917473663161,0.37073926696725357,0.06453877373902547,0.7303866044400485
s123,-0.40533587076389643,-0.831593973493216,0.8484734664860887,0.7255275640739622,-0.9487782509198233,-0.36710719084128685,-1.1091087313028865,-1.1769233785914714,0.5084647695744308,0.3799828134933495
s124,-1.2025197651423958,-0.831593973493216,-0.7166897942641163,-0.7059893780322387,1.128320930174768,1.9940455765111873,-0.7764118522170589,-0.9002001328464083,1.0801370875274132,0.7303866044400485
s125,-0.40533587076389643,0.4007731773726834,-0.31696740769562387,0.22560573653814894,-0.04084685891475932,-1.3066058371444462,0.6846941607165334,-0.0023129202318582327,-0.07415053245227908,-0.020819114133516947
s126,0.9945444010130239,0.4007731773726834,1.6027263354091825,1.2468879780027387,1.128320930174768,-1.5449211960675349,0.8442100014522146,-0.30990649310671875,-1.588935222545199,-1.749525736066307
s127,1.2939785007623317,0.4007731773726834,0.4649943926641181,0.22560573653814894,1.128320930174768,-1.8085513707959575,0.0034423485135380936,-0.0023129202318582327,-0.5834091416199507,-0.5800431607309313
s128,-1.2025197651423958,-0.831593973493216,-1.5380658903564617,-1.135310703617032,-0.9487782509198233,1.324424672161377,-0.18022294165438882,0.18882545691774863,0.5084647695744308,0.29655933369182347
s129,-1.2025197651423958,-0.831593973493216,0.4649943926641181,-0.2519290840063944,-0.9487782509198233,-0.21422908358677634,0.43799645996951364,-0.0023129202318582327,0.9108205327867481,0.8222301273611241
s130,0.6316541790203999,1.2837131190409605,-0.31696740769562387,1.2468879780027387,-0.9487782509198233,-0.06977353178262562,0.8442100014522146,1.1774041487931894,-0.3378077477852793,-0.44940824563033877
s131,-1.2025197651423958,0.9768629143292122,0.4649943926641181,-1.135310703617032,1.128320930174768,0.8687394551483301,0.09299861481520225,0.5446568392987251,-0.14177338943814174,-0.8236313709579403
s134,1.2939785007623317,1.2837131190409605,1.6027263354091825,1.2468879780027387,1.128320930174768,0.7677784051444568,0.9226111419641649,0.18882545691774863,-0.20825424063905704,-0.38183215199381654
s136,1.2939785007623317,1.574915783732344,1.2275906793032312,1.2468879780027387,1.128320930174768,-1.0889772894221048,1.5216455394156991,1.9941764540367093,-1.9628328383295115,-2.0297917584499445
